,Fanduel Salary,H/A,Opponent,Player,Points,Position,Team,Week,Year
419,4400,h,atl,New England,7,Def,nwe,7,2017
420,4600,h,was,Philadelphia,6,Def,phi,7,2017
421,4400,a,mia,New York J,6,Def,nyj,7,2017
422,4300,h,nyj,Miami,6,Def,mia,7,2017
423,4700,h,bal,Minnesota,6,Def,min,7,2017
424,4400,h,jac,Indianapolis,5,Def,ind,7,2017
425,5200,a,lac,Denver,4,Def,den,7,2017
426,4500,a,gnb,New Orleans,4,Def,nor,7,2017
427,4300,a,phi,Washington,4,Def,was,7,2017
428,4200,h,sea,New York G,3,Def,nyg,7,2017
429,4500,a,buf,Tampa Bay,2,Def,tam,7,2017
430,4400,a,nwe,Atlanta,2,Def,atl,7,2017
431,4400,a,lar,Arizona,2,Def,ari,7,2017
432,4500,a,min,Baltimore,2,Def,bal,7,2017
433,4800,a,oak,Kansas City,1,Def,kan,7,2017
434,4300,h,kan,Oakland,0,Def,oak,7,2017
435,4300,a,pit,Cincinnati,-1,Def,cin,7,2017
436,4000,h,dal,San Francisco,-4,Def,sfo,7,2017
